EmployeeID,GivenName,Surname,DisplayName,SamAccountName,Department,Title,Office,OU,Password
1034,Benjamin,Wood,Benjamin Wood,bwood,IT,Systems Administrator,Orlando HQ,"OU=IT,DC=LAB,DC=local",P@ssw0rd123
1035,Natalie,Brooks,Natalie Brooks,nbrooks,IT,Network Technician,Orlando HQ,"OU=IT,DC=LAB,DC=local",P@ssw0rd123
1036,Henry,Kelly,Henry Kelly,hkelly,IT,IT Support Specialist,Orlando HQ,"OU=IT,DC=LAB,DC=local",P@ssw0rd123
1037,Amelia,Ward,Amelia Ward,award,IT,IT Support Specialist,Orlando HQ,"OU=IT,DC=LAB,DC=local",P@ssw0rd123
1038,Christopher,Cox,Christopher Cox,ccox,IT,Systems Administrator,Orlando HQ,"OU=IT,DC=LAB,DC=local",P@ssw0rd123
1039,Grace,Diaz,Grace Diaz,gdiaz,IT,Network Technician,Orlando HQ,"OU=IT,DC=LAB,DC=local",P@ssw0rd123
1040,William,Foster,William Foster,wfoster,Accounts,Accounts Clerk,Orlando HQ,"OU=Accounts,DC=LAB,DC=local",P@ssw0rd123
1041,Madison,Hughes,Madison Hughes,mhughes,Accounts,Accounts Clerk,Orlando HQ,"OU=Accounts,DC=LAB,DC=local",P@ssw0rd123
1042,James,Allen,James Allen,jallen,Accounts,Accountant,Orlando HQ,"OU=Accounts,DC=LAB,DC=local",P@ssw0rd123
1043,Emma,Nelson,Emma Nelson,enelson,Accounts,Accounts Clerk,Orlando HQ,"OU=Accounts,DC=LAB,DC=local",P@ssw0rd123
